10000 40000
2854 8595 490
4537 9753 189
4619 1894 221
860 1406 54
9841 7829 318
9211 3065 414
9897 1046 193
1867 1464 409
7103 2003 171
9073 8852 49
5964 4491 180
1528 1169 491
5102 2764 192
7889 7955 101
315 6985 450
5542 5359 239
4887 6176 128
6985 2112 253
8683 206 210
8294 661 265
5091 4608 212
7944 9442 194
2146 6526 3
3440 6276 291
4664 5215 382
1707 2418 163
2211 565 241
6564 9935 486
2971 3072 500
3180 7561 363
2167 1969 332
7636 4488 284
556 1570 345
9332 5362 225
4972 3328 283
1880 7825 459
2818 6611 279
9074 8204 349
1002 6208 224
4108 9755 49
8000 3831 141
4026 2429 462
1616 2382 497
3683 3998 304
995 970 420
7701 9365 314
7352 9418 481
4649 3734 378
5188 2019 498
6877 1178 377
8135 6121 53
4113 3705 323
9117 7228 67
4911 4977 39
4394 2620 342
2847 1929 17
197 7447 22
5536 5744 371
6960 7239 383
9246 7742 146
8905 1103 271
2312 9964 176
6780 6965 114
9251 9030 194
9418 7821 416
351 2225 84
6596 8501 369
1640 4423 366
1575 9202 397
4104 5577 69
768 2698 46
906 4832 463
9205 191 375
3496 118 10
1188 2063 184
4865 2408 403
3486 5050 324
4151 5313 101
3328 6712 482
5387 4636 258
6894 9959 200
1511 6330 437
8316 5804 67
5312 9831 170
2652 4181 80
9750 3677 315
4825 4505 177
9984 9941 370
7948 7747 293
7106 7709 258
9486 5739 352
8310 7437 99
3506 9705 106
9087 1860 71
6191 8303 453
3146 4421 119
130 1232 104
1586 9473 349
3117 5398 307
8074 1007 50
9941 4092 149
7646 4291 229
1780 9382 102
1873 6527 163
899 4887 19
6785 3671 366
284 4950 209
3542 2790 28
4997 9208 4
1644 4452 126
603 2940 141
4149 5758 83
5938 1253 422
192 1673 255
8012 9192 284
5101 4048 300
5168 1056 60
8009 6836 116
8915 2883 349
2038 910 166
1861 8636 130
7182 598 134
6768 3632 118
4519 4263 202
5166 8955 87
9061 6139 98
405 6445 203
4004 9691 28
3256 3255 270
7136 6020 184
603 217 360
1466 9599 10
4420 4736 228
6223 7598 402
8747 265 381
7357 4842 308
9943 893 316
5632 7696 100
657 4897 161
4151 8090 338
2407 7856 321
5039 8866 98
2888 3424 8
999 1733 487
3289 6068 54
5581 4822 20
8950 2305 191
5903 5669 151
9062 6809 255
9763 8470 318
9494 3545 412
5581 9751 272
2405 3869 42
2411 8197 257
9723 1662 80
682 9619 276
7645 892 446
4 7935 430
2228 1568 279
7102 5745 293
5923 2565 149
5575 5259 381
2552 8585 394
196 1744 72
659 3824 324
215 7070 402
6356 7160 423
5466 5492 302
2657 550 23
8987 4513 458
1292 2338 246
1262 3976 433
7374 1968 162
3652 2430 475
4564 2452 152
9319 7908 258
5723 4697 315
3013 5712 300
4327 3074 289
3907 1375 389
6562 723 267
6393 7353 421
7886 8168 444
4410 7348 38
1500 9199 169
8499 8297 246
3200 1091 69
411 9929 346
8645 481 48
8535 7668 217
9445 3748 230
7378 7478 286
5290 1896 410
7620 4200 214
8161 8855 143
1662 2399 43
3107 7587 86
245 2145 155
69 526 88
1040 7863 139
3916 259 185
3455 1628 122
6241 958 242
7178 4730 205
8150 3507 314
2097 365 358
2520 9786 431
8655 8434 0
4874 6666 424
125 1226 44
1016 747 421
1318 2311 415
8454 5169 16
9038 8628 12
2277 4124 293
8423 3000 492
8132 3222 304
5873 4125 166
1212 5316 338
7988 1336 170
5074 3433 465
6869 4445 153
703 4788 156
3870 9036 308
6369 6749 259
9738 9131 238
7672 2943 248
3907 688 256
2153 9743 149
7207 6671 182
7198 9708 70
1849 4284 106
9461 4382 3
3450 5133 49
4230 9529 370
6893 9009 238
8387 9191 279
1160 3163 22
8711 1830 297
7329 9898 124
5776 5911 120
4863 5308 76
4302 390 319
9514 1998 49
2596 1738 188
2054 1246 369
7518 8124 69
870 7047 459
3585 8892 491
8372 646 25
9679 518 408
3760 3158 369
2958 5022 258
8569 4619 268
933 3199 6
720 9636 471
5001 4418 410
7068 5566 237
5971 100 401
7917 633 24
6277 6359 216
4924 4000 2
2112 9814 335
2443 6286 255
8905 6294 356
6586 3985 143
3993 3547 40
9183 5236 453
5788 8885 423
7207 8317 500
2177 9087 369
3239 8166 168
8203 8427 241
683 5125 187
1174 8566 471
8280 9483 473
4766 138 268
7430 9624 85
2173 2807 250
2712 2560 347
6830 4019 108
4363 2828 341
6094 6817 288
5443 3000 464
3075 8352 97
3841 3226 253
8103 3782 253
3502 8293 373
8829 1713 153
891 8278 20
2349 4290 61
8486 4794 144
726 6735 165
6557 1914 108
4635 3342 215
9700 1466 476
9945 5596 134
6870 1387 88
565 2117 425
7630 6388 154
463 9536 368
3194 556 23
5350 2453 298
9566 76 145
7396 5525 472
1558 683 262
6568 4835 363
8197 5811 83
5263 4632 292
2720 6036 6
2000 4160 468
7899 6612 270
9719 4458 235
9909 1619 39
772 2412 31
4435 8352 54
6395 2942 419
7 5773 471
1598 5323 317
6911 1310 146
1956 9577 383
843 5016 446
2418 1600 315
8972 6116 7
5366 2488 182
2118 2419 193
6234 2578 358
5146 8554 453
1878 7963 403
8648 2501 248
6263 3939 97
7064 5286 215
2057 3426 240
9179 4859 289
4650 6406 121
4732 3826 224
2243 6026 94
3116 1851 278
6392 708 136
669 5557 30
3555 6814 169
9320 2261 37
2996 5439 133
3962 536 354
2566 9378 493
7206 3762 337
9344 667 388
3811 200 328
4079 3942 378
8784 7333 98
8273 1995 352
8415 9532 296
9032 5446 13
6775 8512 450
1224 7288 273
8652 8089 454
9344 8787 110
3151 7336 378
9697 7091 217
2323 287 55
8166 4103 347
9349 7515 47
993 54 437
5319 585 241
2956 5903 485
9305 267 470
8007 7440 123
3970 9391 43
1944 4558 381
2581 4456 177
3289 69 84
6388 174 419
1840 333 89
6459 5381 355
8195 8814 71
9079 9758 499
4293 6120 237
8045 5244 185
3314 3773 210
5778 8110 178
2151 3994 278
3996 7987 77
6098 6590 58
5990 4288 240
7397 4026 233
9246 7394 203
4908 5083 6
4832 9453 147
4250 6594 450
7286 8389 387
8580 7767 171
6401 4608 24
914 4248 172
1443 8170 335
1783 2246 251
2326 5398 73
1328 9937 90
9292 4273 435
7963 5652 478
327 2561 155
2639 5263 92
3572 7118 88
8573 8746 87
2176 9995 476
6061 5760 431
1678 5871 352
6739 5861 449
3134 5607 175
2214 8865 435
6315 1838 113
7850 9408 304
1428 6371 401
6909 9367 14
8663 2529 65
8139 7367 370
3819 4320 318
1200 1491 161
6139 8229 18
3487 7228 428
5217 5000 389
1399 5361 262
1333 8026 393
5203 1448 286
5788 2497 162
5209 1029 130
7682 7762 491
3376 418 274
5455 4715 491
3333 8788 496
773 9496 313
3894 6549 466
1836 9630 447
8033 3349 289
605 6546 341
2457 6073 0
4921 2674 375
2208 3790 122
3360 9438 480
4367 3948 351
6533 3497 380
7928 8483 66
7717 9068 201
5218 5844 288
7210 1985 379
3208 8381 200
6131 7561 264
8881 3926 284
6768 4944 13
5749 750 315
1278 6164 434
3903 7674 176
1128 3664 163
8720 3677 42
7305 8209 293
4085 3206 63
3474 8782 15
1362 6682 282
7267 1562 413
113 636 235
2873 7992 6
1392 1623 122
6860 7191 60
4012 339 316
7957 7852 445
9087 9222 317
1640 203 272
4864 6959 464
7005 505 68
1387 8377 450
2227 5622 166
9045 7404 454
6578 5816 437
7716 558 127
239 970 476
6127 6172 258
9421 4902 348
621 2545 164
459 1252 487
7028 9740 426
9244 6559 356
6951 3789 206
7602 8561 333
2123 2994 37
6116 1865 126
8120 8019 331
3240 6079 481
3849 9872 17
8557 257 45
5095 7086 421
1549 3205 193
2258 1449 198
5781 1878 234
7165 1577 279
9522 1451 237
7084 7191 470
9380 7793 205
5029 9331 326
5710 3711 419
4679 2849 83
5465 2576 242
7435 3982 492
1065 4061 55
5395 5448 248
9960 9974 303
4440 1233 327
2802 6520 173
3273 5188 482
9022 6334 342
7907 3339 239
2281 4328 478
6484 5585 193
6069 2590 358
5746 2225 418
7601 6655 235
7374 6737 373
2566 3841 402
6111 1752 75
8575 8915 454
4257 7836 120
3349 1849 496
9691 4831 115
4261 3641 3
987 3167 117
1651 2284 65
9533 2533 185
4659 5005 93
9395 1776 99
8560 9586 315
896 5331 255
9546 3080 483
7761 5977 240
8060 2338 487
5139 8984 23
7211 5758 61
9729 7700 360
6705 3937 406
1824 7397 294
8860 6462 184
25 843 4
9846 8575 101
2118 8707 136
1976 9581 350
6534 7719 199
3765 2583 331
414 7645 470
5536 7939 220
8014 6348 4
4596 1966 310
7166 7155 102
9914 89 295
4591 1099 178
9902 9108 44
2308 2982 384
9942 4860 279
43 6357 5
2859 5009 329
3458 7891 150
9121 3410 427
7925 3562 128
6087 3078 407
7902 6355 446
1499 3009 171
5312 3212 288
8698 5431 492
273 6067 291
4087 5752 16
3518 4053 233
7451 8940 490
8119 9573 391
4923 4352 80
9956 7734 411
4367 7038 263
2735 6794 398
2904 1517 6
6906 5169 66
7304 1119 418
6164 4722 242
9873 2849 283
7558 4342 194
7424 6022 481
9051 6323 113
9979 2325 74
4908 1302 272
29 495 497
167 2066 426
4969 7885 12
3051 3852 462
4217 7239 289
5382 6572 174
3870 6465 289
5572 9071 444
5451 4820 193
4967 8415 453
4069 641 410
3428 6661 162
5542 3928 385
6206 3158 455
6578 9327 1
4983 2685 412
7613 421 216
1601 8870 8
9081 1879 274
3894 5696 247
8101 6759 360
1543 5797 74
9192 646 256
67 5015 183
6239 9022 308
784 2256 303
3570 9526 103
6618 37 456
3312 2299 345
3638 7929 117
4338 5141 242
5548 2592 245
7948 9461 242
5617 3196 269
7009 3782 157
1757 1951 76
710 6039 221
7558 2460 56
5145 9064 284
8994 1224 261
8742 5926 185
8978 8504 338
6392 3339 132
3438 4198 426
4436 7075 215
2531 2216 470
6566 2770 269
2809 2068 10
2892 4838 209
7663 8212 15
5934 916 262
5435 7215 278
842 8413 434
7530 1721 151
1663 4568 392
8049 7697 129
81 3856 270
7978 3384 86
7022 6510 262
8813 9214 44
6032 5979 176
5353 1630 14
3554 1230 378
2328 8419 369
6520 3860 282
3577 5798 253
2207 310 249
6794 3997 75
5142 9751 301
510 472 399
3271 8025 149
9195 4206 230
1513 3643 216
9316 3157 228
4314 4676 162
8263 8726 315
2273 73 231
3105 2678 357
7952 1817 182
8335 7294 66
4919 9119 422
5444 7924 169
8925 7793 201
7796 6926 398
2359 6618 128
5424 3770 388
408 8464 15
6153 9525 335
8187 6789 321
7270 5858 67
4290 1951 107
5797 4834 224
2064 3069 337
4885 5102 219
7621 1613 298
3112 5490 499
9356 5427 57
3383 332 287
4230 4779 469
6788 5139 69
7494 662 195
9733 9293 374
47 5811 301
179 2112 195
2490 4070 222
6183 3729 393
914 7990 218
6090 7180 100
5562 4312 349
9360 9561 131
2322 5767 56
1068 3369 85
1111 5872 145
8413 627 446
3731 8291 493
6351 9656 75
8600 855 311
343 9180 431
8738 4180 157
7860 4005 298
1925 4129 190
2256 919 198
8821 2802 9
6453 43 305
5912 8746 443
1517 1363 262
7645 8983 356
5757 6934 122
4896 1798 460
689 2535 155
3371 1651 1
7025 2262 407
9205 8921 133
7774 2830 475
6659 6549 142
9652 5674 498
4395 1534 23
2826 8640 137
7732 8378 351
4013 2541 228
8238 1857 276
2659 4249 500
2395 299 207
1640 8233 340
473 8351 464
1595 3795 78
5500 4171 100
4563 7661 8
3710 7505 111
9688 3191 357
6685 9166 321
4305 5409 426
7029 8094 207
2189 9746 13
2655 7255 201
8380 7840 36
3571 1209 30
5477 401 76
504 6957 10
5563 9519 325
1404 9104 228
7043 7767 208
3611 1698 316
403 933 161
9402 7143 228
4857 1315 57
8803 8834 79
7353 1075 354
213 2619 458
6537 6168 222
9843 624 86
5512 9562 462
5884 8155 183
7301 5792 457
4638 9744 41
4299 6431 320
3386 8526 404
4350 1238 47
556 6721 337
1232 6607 416
7164 2883 471
6743 6019 334
3948 2768 392
186 9386 271
5797 1241 121
125 3284 442
7331 8194 438
7034 3571 23
5593 2839 429
5159 7181 139
4472 8436 6
9865 6821 320
2598 1538 285
891 4029 478
487 3767 407
6614 4216 396
743 7585 252
4419 8949 144
4344 9062 176
286 599 10
7537 3706 351
338 3641 383
8379 9019 413
8763 1725 319
598 5464 262
7195 5142 170
3774 2580 242
7580 39 39
5922 1812 73
520 4693 373
4999 9797 287
5314 6644 160
8015 9927 393
2841 7502 358
7600 3115 405
8726 778 151
9081 3116 394
8370 2766 296
3074 9077 4
9273 1072 57
9333 9219 0
1780 7805 321
3107 1507 2
2062 9269 237
2754 916 97
7727 9576 151
6298 5811 303
7206 146 96
9811 5418 295
2090 7138 345
5447 7944 495
9226 8309 348
9447 1675 310
111 2381 135
4285 6052 311
5125 554 480
8175 6951 268
9451 9014 464
1336 5415 189
3275 8979 128
6692 4619 115
3079 7191 316
5347 1699 210
2751 6795 479
9647 3715 476
6420 5361 463
2880 5390 120
1126 292 105
9535 8792 25
819 547 100
6136 5858 491
2735 8863 400
17 7899 119
2645 8168 363
2321 2041 102
2341 5519 51
5054 4702 417
2637 2988 63
3544 6406 421
6643 6693 379
6703 6674 419
1678 1791 400
2541 5781 374
985 4833 336
727 2829 213
3768 9339 75
6459 8091 171
6963 9526 338
2542 8984 493
3642 8793 473
5236 4456 92
8960 5041 409
510 8539 200
5476 5612 74
7381 845 302
2405 1341 307
2753 2403 373
9499 6343 203
1651 2542 240
3162 3555 126
9904 6552 321
58 1901 120
8748 8606 229
8970 3142 329
7229 2272 47
102 5859 376
2209 9539 324
6224 3441 335
3285 7194 60
701 8042 95
4152 1943 410
977 3844 344
5837 8208 278
5267 4445 113
7902 5437 79
7310 3664 472
6294 6294 358
510 6699 431
8700 3627 341
9745 9852 400
5347 4941 255
2547 4500 277
5866 5010 221
6844 1950 452
6191 9806 39
8842 1099 350
6181 3007 281
7799 9725 41
7135 9087 218
5867 3993 454
9937 5986 249
2906 1535 140
2991 6163 445
5164 150 317
6965 8833 334
1173 1539 474
5940 5502 237
6623 2955 462
8787 2735 32
1163 5067 73
6989 48 19
9251 4766 170
2892 2644 219
638 9724 441
9153 4285 52
8417 295 48
670 6601 441
9671 1844 122
3862 1265 349
1099 7107 385
9543 7850 428
642 8927 82
7026 2044 244
6291 5025 112
172 1851 440
6616 3154 315
5128 7815 431
5711 1780 473
3551 4445 479
2673 4010 468
6056 8517 18
8669 3707 50
2215 7505 228
8928 9869 339
6494 7545 491
9109 7534 377
4975 7236 133
9747 9190 407
6735 4688 398
3748 3880 69
4483 9387 218
4169 4199 208
4357 8672 145
6207 6300 211
938 6339 190
5433 6623 96
4331 5949 142
3494 710 211
5831 6369 147
6388 7520 300
5929 2720 292
9187 6600 485
2010 4826 80
3244 8783 88
2734 2374 92
6876 171 82
7566 1829 379
8214 8268 208
835 8377 371
8772 2241 447
2681 6470 474
4193 1913 363
4246 796 51
5723 1746 444
145 9137 335
3056 6014 87
5301 8199 52
7375 536 459
4694 5815 35
4038 2490 79
6612 7770 409
6205 4321 222
6855 9465 347
6688 1103 179
9505 797 191
6797 7384 161
5845 4814 398
3672 5019 134
3594 1247 139
9744 5411 302
4734 1276 147
3527 2657 331
8183 3317 15
3768 225 487
4550 2583 22
1715 7290 277
9986 3382 245
3580 7228 223
8133 4498 244
6382 3727 326
3579 6929 217
3737 4555 482
5076 2528 173
5079 6164 318
6887 8311 77
3375 2175 325
281 9160 92
2200 4234 91
9443 8426 434
6031 4752 477
2571 3535 352
8963 6896 126
3283 71 183
6410 2081 190
3373 8536 15
3083 1098 109
9203 4649 8
2003 8237 84
6496 2727 494
7559 7175 358
5714 2353 381
2716 6861 358
2497 8786 298
1247 6248 355
2400 4911 250
6637 509 416
6778 4519 55
8960 4606 171
2084 6637 425
5066 5046 446
5748 5992 193
1330 6016 477
1551 4594 490
6660 1932 194
4675 6830 411
4797 4065 155
9426 3138 420
2928 8295 169
6896 3516 197
7752 3876 497
3559 1114 292
6375 1305 6
2126 1691 202
8938 5231 244
4565 3888 499
2483 5289 495
7288 372 313
234 4016 387
1141 187 464
4193 4665 161
1724 3264 92
9840 8166 294
6557 1849 123
5174 3634 145
7930 6482 180
2341 3280 285
1772 8063 156
3724 9334 406
4177 3457 291
1120 4879 491
1856 9317 199
5928 7309 195
6979 4752 298
3566 9385 176
9089 7965 496
6224 7470 29
6175 9712 299
7985 31 382
3493 3069 68
66 5829 349
3862 5546 455
9668 4278 499
2512 715 229
7506 3679 41
6154 1010 52
1224 9179 50
882 3036 318
1400 9174 88
895 1365 335
8599 896 253
5158 2244 400
4064 4312 464
1531 3728 291
6045 3043 323
9699 1894 277
5112 811 367
4712 1204 438
4591 7035 368
6402 1948 82
9736 7121 255
2229 5781 163
3913 5606 41
108 12 378
8856 4102 133
8345 7385 108
402 3676 97
5217 361 116
7551 4755 209
8928 9068 169
8076 6738 238
7594 5046 283
7029 7593 337
7108 4242 456
4043 7308 169
9671 1524 44
1742 6406 444
9841 8500 263
968 4583 92
2170 5190 440
5832 8062 8
3694 2442 193
4577 9742 426
1821 8158 325
9200 2803 97
1126 76 320
6263 3766 434
8263 9173 315
3774 2151 415
9399 1981 451
3137 3846 449
2213 8238 17
3363 4978 106
6668 4439 364
5809 7377 412
6650 9535 389
5634 6157 8
7309 7525 83
1287 8190 108
9965 9344 99
4555 5925 259
8216 6021 96
6637 4347 424
9970 3561 225
6266 7683 65
8015 4521 416
6598 1600 355
3601 2176 292
5237 8524 317
8328 7220 78
8690 1494 152
7961 1910 182
3019 7395 23
3997 8552 343
9064 7926 402
9820 6637 346
6918 4913 30
2864 8799 327
7879 2537 93
3142 930 110
9735 2919 372
8060 323 464
4790 6618 177
1815 1486 143
2846 9660 476
2388 315 109
2382 6486 71
9651 5896 36
1385 5162 498
994 4304 10
4980 1783 394
3354 9895 464
4723 6091 62
1620 517 395
8634 5558 481
539 9235 221
3747 3622 281
8481 6687 222
4173 1010 490
6006 9940 173
6110 8170 339
5705 7055 397
7974 72 195
3254 3689 172
3095 6741 57
2721 902 454
4524 8661 93
9866 5502 231
1728 5664 383
7822 243 296
6490 3446 128
1981 4182 102
5184 5942 463
532 5152 397
8059 3174 399
9190 8187 167
7599 1539 425
5698 769 71
6120 1504 319
952 8802 25
8034 8450 133
4029 8689 341
3578 352 84
7579 8882 266
5983 267 484
7229 8597 55
8569 4589 180
2717 602 22
2735 7032 407
5 4221 200
1168 9589 457
9005 104 138
359 2818 33
8815 7729 283
4465 6504 307
1177 6351 264
8150 4800 291
3840 2855 267
7906 4706 404
7358 4413 67
9036 7519 430
4431 6123 14
6832 5173 322
5050 16 177
4770 5286 308
3884 8391 291
7877 7624 234
4290 2784 126
1008 5670 288
5989 4057 52
8052 7206 148
1372 6889 32
8036 8941 319
9586 2623 197
8955 6609 291
8285 9095 478
9095 5079 31
967 9141 258
7867 883 207
8569 2827 3
6964 9220 189
1877 4952 377
2175 2573 455
5940 4053 387
8303 5847 463
9404 9874 387
4095 6678 210
2785 5369 358
3842 7023 352
9489 7242 125
5784 4925 413
4220 5811 154
6228 9587 141
1092 82 101
6818 5837 475
4644 2714 70
7439 7620 473
5282 4753 36
3898 9907 301
7756 6777 474
2983 9203 409
6330 7808 46
2017 6822 196
232 739 356
4610 7398 489
278 8572 358
5547 8107 243
1655 9194 39
1349 8899 361
2596 4476 88
9451 174 222
4179 9027 348
6681 7939 203
4677 8204 146
2762 7196 124
5735 1165 312
3439 3982 257
3692 2426 463
670 9980 424
1904 8501 64
9212 3795 314
9239 1004 314
505 3669 14
7905 1629 130
5272 5765 169
9415 8559 62
6040 1864 208
2866 202 61
7163 2394 358
9232 3375 238
2489 1844 157
2577 6230 437
2940 332 101
7807 394 308
7186 2237 38
3592 2271 398
7040 2589 89
1642 2146 423
1838 1169 330
9249 8814 78
7301 3450 191
8485 7750 118
4965 4743 446
2224 8770 449
3966 4011 283
4216 7144 285
8364 6744 68
2687 1408 397
1485 4269 244
29 4844 245
6867 8502 211
6983 3001 129
86 1960 147
7665 502 293
359 5185 38
4153 1862 310
5608 2487 393
5840 4001 41
1490 4601 165
2813 559 375
6471 3601 212
8030 326 125
2007 9540 272
2759 2179 415
8339 1078 177
6342 9178 25
6707 6623 380
2788 4114 64
6721 8026 53
7936 3116 289
3472 7639 215
6899 6052 236
6634 1223 10
2378 6572 376
7229 1170 331
3327 6696 402
4226 7284 459
3041 5007 450
8212 1945 46
7096 4043 208
8069 637 292
4609 3063 153
6659 9915 290
284 9912 266
1792 3354 102
8081 338 471
4552 1627 177
3953 7858 359
7245 9059 460
173 6192 248
9499 6741 145
6011 3876 430
4702 3052 360
5381 8867 28
5606 7095 105
5837 482 246
9064 3567 216
7762 795 163
8831 7563 164
9997 2195 366
3189 6866 154
838 5464 332
924 3109 282
7527 1557 352
6468 9055 229
9483 7590 480
7050 6361 479
2610 1679 30
3071 9958 59
1446 4654 75
3931 3140 211
5561 4095 9
9922 4345 437
3163 3677 461
9103 631 25
1743 3717 86
8306 841 409
1961 6972 348
5772 4520 249
7431 7560 148
2821 5139 48
4358 8133 316
9171 3172 400
8125 6221 364
608 7577 297
8899 3156 196
443 4880 352
5749 6689 485
8643 9580 126
439 358 24
2293 2748 39
592 8347 2
5140 8402 400
9844 5442 118
6385 9842 419
8102 5251 364
2932 9649 406
1360 8192 494
4813 8664 318
7710 7055 138
6800 243 412
8163 2885 2
7887 792 192
7358 6537 443
3791 3850 425
8675 8065 80
9041 7639 390
3912 5023 386
4148 9993 186
2953 505 351
3336 7056 11
6161 1978 365
2072 3164 439
2324 8041 252
3202 7538 104
7886 747 44
9985 3424 408
40 7276 233
6399 6515 121
1532 4851 269
843 2930 226
6427 3167 282
6937 6864 336
8887 5667 10
5042 1620 344
6553 7628 327
5992 2602 170
6902 9407 44
1817 2802 478
950 2457 164
2430 8431 220
6744 5185 456
546 2251 284
7446 1502 268
4620 5429 488
15 474 397
6918 1638 419
1059 1815 26
9678 8615 268
1734 2024 153
8965 6153 424
7806 3079 454
4867 8117 43
394 9223 392
2972 5002 195
1495 6704 398
9262 879 56
3804 1205 193
5555 2750 52
5304 6661 407
4433 9761 34
4855 2239 217
2631 9481 3
688 3996 461
4915 4402 145
7764 1064 90
7201 5122 164
7909 8870 16
4986 7768 171
1113 5616 417
858 8688 66
7109 2556 415
8065 4947 251
7602 1949 280
8744 1401 144
9173 1458 134
1589 9913 246
8009 8581 166
1659 146 148
8753 1490 383
4215 6290 339
6114 2402 334
2901 5579 411
6312 6253 146
2206 4920 141
5932 6284 450
643 4171 467
6874 6922 119
9433 1988 397
1009 1848 138
4926 2764 218
3387 9967 320
7246 596 193
3708 5318 85
5392 8496 322
8886 7190 425
8122 9316 461
6365 4672 91
4833 8474 203
271 7771 385
491 5772 364
8148 4455 128
3699 1032 77
1244 5462 263
6766 6988 114
832 3060 131
7093 7500 97
7245 1536 497
5083 3194 123
5907 8660 229
5942 4570 240
8097 1173 371
6148 8332 109
848 7666 282
5816 1284 418
6209 2447 307
8402 3096 167
5792 3607 444
8380 2511 134
8283 6902 113
4119 3521 192
6749 5863 91
2790 1040 495
7678 2296 451
305 1308 256
6358 363 460
7000 2451 486
2752 8481 416
2889 8502 358
6209 5541 464
1702 8592 165
2339 1877 308
7465 2961 69
1806 4243 431
3024 7578 42
5521 7146 87
5901 5254 285
2421 8733 95
2954 5896 456
4878 214 473
2525 7053 207
4263 6017 214
4613 7452 20
267 3178 186
8591 9962 372
5732 7535 179
8107 8069 416
7756 3054 319
578 2331 261
4204 7906 212
7595 7083 256
2010 4637 6
4590 575 255
3736 8091 66
8457 2793 93
6107 1043 62
4858 2960 148
7487 7286 45
5939 9353 285
7706 906 260
6115 1452 82
8158 7217 452
193 8091 382
8595 491 386
9829 7094 362
6820 970 196
962 8039 245
9797 989 392
77 793 5
1261 3942 186
6325 2553 219
2081 870 208
9730 9725 314
8844 3173 227
9976 1236 423
8240 9420 373
2812 3832 216
1046 4108 174
5067 3806 366
3549 3211 30
5235 4732 446
9975 9328 184
4394 591 287
6759 6637 471
7065 492 64
8466 4262 248
4772 6404 427
625 5165 262
3700 6023 376
8034 4160 282
722 787 378
1476 6535 212
1373 9231 264
3435 6528 223
715 4977 412
8878 7579 169
5254 2004 95
4494 6084 267
4694 5085 296
2041 1541 166
8912 5810 323
6604 1524 430
3813 3044 243
9652 1917 334
491 4550 296
5051 4358 349
6910 1151 408
