1000 4000
87 718 467
717 454 119
55 20 422
349 778 70
174 24 319
592 171 432
767 843 4
131 922 33
488 120 67
431 879 479
885 423 403
852 274 139
488 463 220
972 89 489
530 475 410
776 49 111
193 626 479
690 630 350
185 699 198
799 925 197
906 274 190
952 968 12
414 496 130
711 919 89
951 779 21
519 180 445
188 288 242
17 864 262
73 446 493
914 844 72
763 841 26
336 959 167
838 375 403
683 404 142
662 573 318
266 786 71
22 686 316
125 324 460
329 131 421
391 812 226
322 765 200
65 607 219
591 20 439
272 816 283
303 62 111
985 804 493
619 913 387
249 383 96
82 287 417
816 132 410
183 11 35
221 769 97
703 859 90
340 133 37
421 912 467
496 119 150
253 447 246
606 886 349
442 500 329
567 253 194
937 150 50
657 181 445
829 862 140
203 351 478
195 572 420
429 311 25
916 533 18
178 239 111
694 305 464
471 760 236
611 929 47
98 534 272
229 788 87
537 937 451
811 720 138
380 301 160
974 43 299
853 795 456
352 620 86
215 297 159
85 313 395
513 67 253
517 527 446
593 800 433
64 203 407
972 324 138
430 836 488
129 336 261
345 312 37
962 755 231
729 438 133
927 944 168
733 670 429
932 806 149
558 946 16
657 464 12
105 863 408
961 613 282
415 678 90
332 690 44
430 749 224
795 130 475
509 192 396
785 439 11
333 583 386
424 902 237
791 409 44
439 585 457
657 112 437
868 485 49
973 748 212
397 287 59
56 808 254
907 74 346
769 936 110
809 935 120
955 293 159
376 881 420
535 14 59
142 857 111
882 361 213
23 29 44
896 724 111
364 835 378
664 382 388
318 202 183
128 77 232
510 47 280
999 77 447
925 901 197
65 209 483
923 376 259
692 98 228
132 274 147
393 158 39
529 416 2
800 509 114
794 170 60
919 364 451
347 30 168
980 459 251
875 593 173
662 373 407
865 543 84
66 583 147
402 204 477
794 688 282
536 268 339
132 595 161
596 275 37
867 990 152
827 559 287
971 617 404
448 599 257
648 742 104
230 338 361
418 4 49
935 934 292
669 585 241
284 839 199
787 271 352
319 84 348
444 489 185
460 339 438
693 924 349
288 209 43
353 348 111
464 460 181
687 628 413
744 632 353
599 198 160
678 337 100
482 341 241
256 37 118
291 317 168
616 949 69
749 662 155
653 249 316
73 587 384
324 504 212
603 784 454
914 935 374
943 995 321
545 576 218
423 879 364
637 772 497
785 802 375
341 30 19
937 389 369
945 327 287
855 943 194
270 526 416
662 965 66
718 144 144
487 79 445
806 528 266
527 726 261
876 533 483
802 12 325
624 255 231
86 726 371
820 692 187
127 359 316
872 688 264
654 502 124
844 750 270
237 239 213
524 472 147
120 497 481
180 506 53
873 278 226
160 298 270
651 301 400
985 464 30
750 316 277
246 32 480
222 450 35
196 373 362
406 644 365
399 326 301
787 652 275
392 563 182
726 334 412
45 636 182
655 653 142
721 756 322
8 33 292
783 10 458
605 518 141
846 43 402
825 120 149
209 197 369
359 224 433
416 105 407
233 665 379
229 611 394
120 63 321
143 403 116
249 917 402
567 387 279
62 77 292
818 618 266
200 569 381
972 969 43
380 314 196
842 693 183
744 625 456
302 719 224
800 656 253
60 453 35
817 653 152
136 244 118
647 722 265
37 925 254
800 174 187
793 895 60
404 626 435
255 448 160
82 386 179
10 280 413
103 597 41
454 699 292
193 282 464
526 846 295
858 777 313
632 886 279
17 175 268
490 824 396
48 442 396
993 46 184
769 320 213
636 77 293
5 661 78
183 947 137
919 811 133
993 777 47
395 334 25
801 493 394
678 670 295
967 766 433
832 417 386
207 408 314
102 930 199
360 444 263
23 672 436
658 170 94
240 793 4
481 945 232
35 758 305
411 908 286
666 908 15
753 58 497
264 537 336
912 240 81
972 611 225
294 837 442
105 32 78
579 696 139
125 668 38
533 970 33
458 86 391
651 720 25
475 96 410
168 362 66
315 553 173
46 247 309
380 272 429
692 762 151
739 704 55
732 208 232
449 983 96
239 786 273
561 477 219
397 76 337
847 640 500
554 906 105
995 9 376
52 736 301
374 944 326
795 220 54
859 597 319
403 759 414
326 489 286
631 853 158
228 808 353
28 276 460
989 35 462
912 480 216
973 244 479
80 123 11
62 129 15
492 628 297
223 778 457
477 176 63
974 694 420
659 677 148
5 568 287
196 652 351
512 211 484
143 456 136
680 526 35
532 937 137
717 545 277
77 142 133
731 794 418
944 469 76
641 39 192
652 727 236
33 813 490
170 940 230
924 308 287
903 238 18
160 349 46
215 473 124
565 848 360
350 689 447
965 586 405
164 649 1
677 669 286
569 192 130
176 115 258
186 529 217
450 912 79
932 113 190
590 957 40
247 45 206
775 937 304
958 865 84
308 995 264
11 116 29
980 278 197
501 546 214
49 236 13
261 887 5
883 8 144
966 429 276
135 876 101
913 917 457
363 399 44
299 171 413
228 61 118
928 727 80
376 304 449
252 955 313
158 522 37
672 286 486
85 450 102
944 315 393
10 812 245
643 311 161
511 592 350
980 462 144
690 861 9
526 831 134
635 165 307
1 774 98
571 405 8
188 671 226
886 750 247
338 482 413
12 816 129
57 755 441
185 376 475
124 157 333
613 395 254
680 499 266
523 354 36
369 892 152
867 551 26
865 884 181
106 412 157
999 903 401
577 554 414
677 247 215
43 966 369
261 302 90
434 511 274
834 515 262
797 411 157
935 121 322
66 765 90
871 78 208
702 392 187
484 325 131
722 704 415
680 174 290
757 723 445
633 665 251
143 987 237
923 253 85
364 422 255
242 668 266
752 374 180
104 174 57
516 388 278
689 461 463
705 602 246
297 954 372
26 275 384
446 809 300
359 273 136
329 244 179
397 712 80
31 215 389
941 457 118
425 518 109
54 14 33
294 781 203
889 397 146
657 657 72
422 777 66
722 208 165
239 756 20
180 804 133
712 762 425
663 796 282
997 739 118
135 328 464
198 326 353
167 192 181
794 938 315
175 911 428
940 318 72
939 542 26
517 634 32
383 914 72
225 429 94
774 800 23
868 941 366
709 558 237
143 609 151
932 759 153
992 318 73
954 230 260
323 176 200
534 832 332
945 655 56
102 223 52
557 273 104
919 84 358
707 325 191
583 419 56
21 568 3
583 536 246
6 659 114
579 23 345
582 76 81
803 643 141
107 54 264
622 373 473
761 467 213
174 656 344
656 197 368
50 644 142
430 874 51
195 24 418
453 997 230
503 164 12
255 456 157
261 149 388
459 817 303
264 818 139
669 188 351
301 884 26
535 490 178
710 801 13
566 935 116
263 458 326
191 144 136
310 406 264
395 255 17
607 32 409
521 168 179
958 903 455
5 842 193
684 587 305
421 491 196
939 74 94
135 462 265
454 284 198
981 342 355
824 202 48
982 361 449
654 635 170
387 473 3
882 810 54
59 837 394
64 874 376
617 521 323
347 599 79
293 224 369
926 745 28
787 200 151
276 205 112
304 709 499
384 286 176
221 88 129
636 410 309
440 936 433
425 234 435
796 813 471
164 318 245
845 789 277
798 910 12
449 343 115
836 287 385
580 422 417
366 127 188
859 17 365
500 219 228
935 158 403
61 490 372
538 588 0
204 500 474
895 817 76
364 992 353
779 877 251
441 45 499
641 9 285
18 316 333
130 60 203
613 765 472
583 233 282
791 558 365
967 207 315
608 113 430
890 892 209
517 114 397
285 96 154
810 743 320
997 209 209
754 574 175
464 487 427
364 259 185
709 916 160
375 927 397
491 808 285
531 334 404
823 123 101
657 985 3
409 181 270
363 571 452
543 225 422
763 230 267
112 425 68
164 127 42
647 10 47
871 988 223
529 815 104
573 941 425
321 794 12
935 285 99
252 951 144
3 634 441
289 159 11
372 526 255
134 764 446
410 602 71
434 242 267
9 601 422
800 87 381
437 409 423
593 328 99
905 906 398
483 688 137
666 541 120
486 90 352
714 486 404
988 930 447
808 207 14
174 249 242
600 935 82
997 452 37
184 412 433
569 36 267
356 662 55
574 271 372
585 710 313
268 17 424
460 559 432
302 380 264
326 20 43
840 890 30
960 165 185
69 91 355
777 893 486
303 769 288
394 879 7
702 25 57
93 398 331
210 586 185
780 894 247
614 498 478
546 496 89
168 844 170
876 947 14
603 283 272
496 985 275
303 537 43
852 950 247
802 671 76
396 589 333
413 979 311
435 636 299
438 826 143
674 287 499
375 533 257
186 384 324
912 342 221
25 429 158
481 451 198
22 536 62
686 295 131
800 472 314
739 406 28
374 957 309
819 675 82
501 854 61
984 515 198
752 407 147
96 561 266
821 17 52
140 709 347
339 989 392
377 548 474
947 478 368
838 380 489
609 77 401
160 380 398
546 690 480
892 570 487
580 915 22
692 474 170
556 161 238
996 844 274
446 720 281
650 70 302
743 991 101
479 925 433
200 180 306
236 306 53
459 579 486
235 23 54
865 93 421
103 992 41
528 818 235
82 692 320
212 81 245
551 202 45
593 349 472
770 775 280
758 25 37
321 116 77
312 512 492
972 594 97
447 758 479
82 467 6
4 887 391
935 574 227
310 392 141
595 820 148
539 436 313
162 623 216
184 599 298
396 893 6
993 902 4
611 496 149
753 127 288
695 453 288
889 932 403
265 458 135
18 739 170
670 676 402
272 986 360
764 193 416
353 776 341
192 621 18
131 481 192
400 60 131
767 230 182
207 746 161
641 995 138
130 273 304
646 522 378
372 366 322
162 677 272
242 623 320
112 513 35
393 155 186
987 821 178
501 238 209
571 777 321
972 101 306
594 935 81
633 714 197
252 11 274
328 315 488
8 318 321
475 449 394
988 668 243
462 312 32
905 655 76
306 967 431
794 694 368
948 750 454
506 100 325
760 229 466
825 926 316
745 421 287
882 178 71
257 403 365
565 385 241
447 483 244
8 480 24
951 638 18
248 205 428
381 501 229
598 49 239
917 387 367
375 453 379
607 106 210
747 258 126
717 430 124
799 848 408
738 655 368
50 362 245
152 931 195
572 35 128
813 592 203
453 219 317
454 109 225
994 358 89
852 405 326
435 999 181
813 891 485
75 157 340
439 4 119
431 696 148
65 850 174
850 189 63
139 830 341
349 704 327
941 30 150
817 363 251
620 434 340
2 231 75
593 304 282
150 121 334
364 779 274
623 700 321
370 635 233
46 622 156
609 458 284
82 153 397
479 786 473
13 799 326
317 887 200
616 996 58
481 395 328
985 791 282
965 991 244
500 486 199
772 337 175
871 316 112
61 802 184
918 755 376
690 485 347
509 911 65
411 727 75
547 33 93
959 845 186
607 642 116
200 492 303
277 211 245
732 826 227
100 809 244
669 788 472
604 580 1
155 177 141
718 816 480
325 394 409
477 566 154
530 309 208
190 380 226
200 158 247
531 647 198
29 716 188
439 346 338
432 635 446
411 1 38
553 923 67
668 207 385
549 852 193
466 958 195
544 423 431
340 443 494
443 80 483
260 170 354
575 365 357
602 130 326
854 451 367
453 104 308
710 818 404
638 466 440
676 90 138
166 435 121
485 130 11
965 90 304
139 487 278
990 5 225
315 107 41
968 232 350
641 708 319
207 490 487
91 448 330
835 443 121
561 365 485
143 334 158
18 826 6
633 337 263
51 518 375
125 664 391
355 916 93
612 529 418
497 788 436
890 934 415
698 150 417
961 143 379
598 94 271
220 531 467
427 152 311
719 330 424
416 288 360
149 372 414
185 673 244
645 920 325
451 429 486
950 838 192
922 978 397
295 765 26
427 548 299
557 820 157
728 433 205
956 779 84
492 975 80
314 64 282
140 433 57
230 885 133
292 16 388
951 831 169
966 897 388
252 30 208
424 117 437
808 960 128
437 252 327
885 384 247
348 919 410
584 255 0
516 574 182
245 534 125
175 35 222
717 937 374
209 201 207
135 997 52
314 666 250
374 110 243
43 334 147
189 643 189
901 413 36
444 732 62
861 457 495
487 392 333
892 835 125
86 951 67
938 662 211
951 819 140
582 499 146
368 963 421
10 744 212
53 144 174
650 135 169
361 714 416
261 406 328
266 741 15
988 944 44
616 620 447
609 47 199
673 969 129
443 366 374
907 376 475
206 677 108
518 666 41
516 47 157
183 319 312
995 473 57
560 808 49
530 575 271
183 550 68
741 712 404
49 581 246
499 165 181
40 185 417
631 209 260
645 407 355
57 108 493
98 401 148
795 785 247
852 475 265
788 223 403
188 551 448
367 308 98
58 497 65
826 4 246
557 167 415
699 922 137
237 573 246
414 886 262
515 295 303
526 233 139
170 335 397
711 328 263
93 758 280
868 559 186
833 884 184
687 684 222
104 516 268
402 681 71
973 96 409
967 776 249
302 412 149
947 926 477
223 696 438
843 372 136
207 827 390
482 360 481
5 427 52
665 985 27
381 909 182
222 840 309
292 511 120
312 275 40
66 582 97
328 177 286
127 550 422
833 810 276
701 293 112
126 188 215
344 365 499
629 690 457
191 353 444
187 734 487
877 724 229
652 57 13
816 70 313
53 394 309
994 357 264
680 635 208
635 396 263
225 713 57
973 30 299
481 112 276
240 366 384
627 890 413
69 936 458
819 430 402
665 217 41
330 323 169
506 939 46
857 694 260
465 923 75
883 209 403
792 349 4
316 70 500
256 341 408
807 299 493
664 385 63
153 563 51
660 539 41
917 846 464
872 500 398
76 320 176
987 870 29
655 66 472
352 591 438
110 493 356
112 824 142
97 797 120
641 200 212
271 236 288
76 221 395
503 582 240
43 705 400
76 16 106
908 637 248
386 32 328
874 967 203
854 216 437
420 354 308
188 421 207
459 442 203
970 309 21
216 929 418
813 960 491
130 787 444
648 456 90
818 587 42
203 185 232
452 452 57
650 942 74
761 583 475
685 160 114
354 855 87
797 232 159
901 265 275
433 2 236
18 933 304
431 533 81
413 203 164
721 979 304
222 858 112
558 631 185
75 237 141
571 238 139
978 830 300
811 856 171
85 174 137
748 358 321
100 341 387
512 191 432
867 683 271
743 155 203
285 505 124
216 549 253
606 200 223
738 717 45
58 723 234
15 8 147
83 259 262
574 219 12
538 363 380
868 26 374
283 513 337
238 646 52
814 594 342
550 729 398
815 891 217
988 352 500
934 40 437
932 643 97
254 333 396
968 353 43
249 694 489
358 527 24
987 391 360
955 80 219
672 132 375
739 481 49
726 977 88
887 690 385
721 966 132
725 27 454
815 231 118
943 737 281
320 276 43
153 414 29
172 38 209
499 525 373
350 887 139
561 918 234
207 54 76
998 270 368
971 464 241
745 860 393
159 412 103
924 682 487
446 674 279
471 792 88
974 8 164
27 360 174
446 291 92
976 199 357
525 545 256
911 801 335
678 964 6
396 261 145
959 773 409
70 890 231
912 148 88
556 739 68
298 470 351
224 27 16
59 954 20
237 359 185
536 582 491
982 290 18
356 105 101
342 561 273
483 48 323
734 743 16
186 114 221
485 628 111
524 278 174
417 368 86
271 281 166
74 906 279
982 299 496
552 36 167
923 132 280
945 764 349
601 928 443
860 799 487
787 580 348
595 861 407
767 287 175
400 88 55
549 754 288
531 276 420
623 568 161
982 434 365
975 11 361
21 30 193
282 193 255
824 436 436
78 930 298
926 509 192
725 582 317
477 752 102
885 375 355
220 790 178
477 875 341
973 483 195
657 293 207
252 529 288
445 239 13
719 655 43
465 451 15
190 588 140
426 328 264
435 971 479
591 772 232
785 247 393
967 452 301
275 957 462
992 458 311
361 244 409
426 173 49
825 504 30
161 375 40
446 969 282
202 524 258
575 907 288
27 762 65
723 825 424
197 214 454
822 710 215
386 462 237
88 757 229
301 249 439
909 132 122
310 99 447
425 606 203
227 423 164
905 736 390
288 344 195
564 460 408
641 347 189
595 342 169
706 469 457
682 93 467
69 775 414
375 812 331
122 327 428
536 594 56
134 159 221
510 778 411
953 237 277
9 727 300
196 925 349
863 897 370
573 566 467
552 226 400
240 439 447
917 809 223
35 736 40
314 991 270
677 569 363
701 411 25
309 976 112
408 503 474
995 819 192
685 44 286
810 504 135
909 342 144
63 5 202
837 671 500
139 898 436
905 68 307
8 729 358
971 438 329
114 13 293
72 436 67
350 502 337
111 275 33
726 19 349
668 481 424
364 579 287
924 113 59
130 125 12
800 781 291
39 749 358
73 342 4
999 597 325
190 819 232
568 893 439
498 682 87
291 720 201
745 456 235
592 420 326
504 835 487
483 991 353
777 642 500
456 919 264
704 656 351
453 243 472
147 684 293
679 851 173
182 285 433
188 729 209
317 915 49
58 917 494
962 403 202
471 784 368
790 655 118
260 962 269
68 573 285
748 958 372
337 817 255
441 570 126
862 322 353
619 197 76
394 660 412
861 868 204
538 442 134
872 933 333
412 226 465
814 23 4
445 136 162
335 291 194
561 222 124
20 193 335
849 970 244
177 235 204
649 215 251
695 205 278
963 809 346
294 66 303
543 747 420
857 336 6
221 923 151
729 949 117
711 194 339
657 54 75
908 195 172
751 469 488
926 73 236
593 562 438
91 728 188
512 410 19
519 175 463
91 500 199
328 287 138
56 902 149
315 376 44
673 63 200
727 714 460
142 192 149
236 844 91
867 77 90
125 373 461
492 549 88
391 524 200
945 380 224
288 988 184
810 568 235
791 856 170
271 870 25
331 836 474
723 10 306
292 1 299
930 925 52
380 579 348
646 913 48
669 966 185
972 48 283
100 307 310
968 780 482
817 118 442
150 125 188
77 277 375
669 821 412
968 941 143
490 725 477
110 427 491
30 291 304
9 230 179
657 603 95
476 766 400
438 751 348
967 667 238
533 212 483
525 793 174
357 763 215
514 989 77
432 946 237
174 585 288
721 587 86
531 470 202
320 164 9
519 133 315
855 316 147
779 933 25
688 692 467
543 776 331
615 577 366
515 44 327
284 666 3
953 269 420
842 146 259
502 73 491
351 213 399
800 353 375
14 962 132
482 472 304
60 19 119
215 57 60
356 163 195
494 568 466
82 801 426
281 366 325
377 371 228
209 887 423
787 934 109
934 342 346
254 141 414
15 17 272
875 510 123
352 886 84
599 962 358
506 959 325
247 871 381
572 924 359
506 385 109
212 252 361
770 706 135
745 879 238
546 465 38
88 675 25
637 700 208
669 954 368
184 627 158
113 719 124
969 131 28
216 0 156
748 65 37
687 664 345
167 747 400
185 624 332
684 34 375
227 626 95
312 997 416
964 924 88
969 121 436
833 973 286
87 435 387
304 755 67
473 562 301
470 564 455
1 351 109
811 68 8
552 131 35
432 771 171
281 551 94
720 666 2
449 308 64
429 90 34
968 61 302
921 454 496
343 722 393
54 466 80
842 44 69
444 950 401
183 397 70
24 512 351
163 585 134
744 919 74
407 395 330
547 289 149
940 241 168
606 867 61
714 906 476
274 36 185
647 951 52
804 947 195
682 142 12
873 481 462
699 635 304
359 602 29
265 207 354
398 126 130
78 107 388
352 361 78
949 627 456
380 57 93
289 731 40
320 442 342
753 132 485
549 504 319
614 120 10
521 954 193
335 633 256
328 943 414
579 430 149
244 490 27
853 34 123
684 135 241
731 324 60
641 116 442
138 718 186
841 585 60
646 550 500
142 671 145
426 208 359
324 768 459
111 324 27
302 659 67
449 446 239
338 230 130
610 484 63
614 593 470
355 248 110
339 148 312
852 801 69
999 815 121
231 820 500
589 720 95
156 585 446
263 439 175
68 14 20
261 646 451
923 928 352
545 337 386
520 993 230
16 969 48
235 496 110
368 274 47
318 465 278
241 762 245
297 183 229
481 97 347
556 784 144
597 400 438
130 313 409
827 682 455
275 657 102
984 948 462
290 792 351
956 576 228
662 966 176
34 98 109
298 477 438
923 71 388
489 254 469
910 449 138
559 416 38
156 47 281
406 19 167
640 607 439
896 565 251
612 494 134
319 110 249
825 911 498
766 139 272
159 38 211
390 412 47
571 698 399
914 208 219
714 16 51
186 996 177
548 863 166
951 311 308
220 713 415
816 563 392
201 954 77
459 799 13
596 472 185
452 566 196
219 579 29
892 961 433
98 50 288
868 148 287
426 260 320
574 174 357
55 130 130
933 330 391
491 607 106
110 862 391
132 929 3
938 279 293
568 949 388
234 855 29
341 731 27
880 256 53
779 507 279
172 561 380
706 71 13
141 788 486
873 920 275
297 520 141
448 58 71
639 160 188
719 604 240
284 97 178
450 73 272
771 486 431
177 751 106
956 395 106
829 120 198
807 308 101
577 445 393
550 423 322
54 129 245
433 180 443
444 444 226
210 18 236
314 280 409
337 532 54
568 292 305
680 187 299
564 119 355
226 105 240
890 942 264
957 96 205
961 163 31
204 647 272
842 34 43
950 511 279
585 845 19
204 819 422
822 784 89
107 608 314
997 823 138
505 318 32
325 570 369
879 999 275
639 197 492
890 284 287
25 278 415
452 960 463
23 854 399
806 6 412
226 162 8
604 809 17
746 680 278
754 493 427
543 25 418
611 30 256
662 492 1
983 707 7
562 725 98
879 116 412
311 986 400
136 347 7
0 303 466
477 699 253
766 3 9
795 270 52
903 296 213
467 809 33
497 937 446
305 346 417
279 465 320
582 696 78
125 318 88
200 320 220
228 898 438
918 366 210
155 39 494
418 865 199
818 932 257
257 50 439
24 555 123
471 553 171
266 627 286
717 615 45
335 811 211
392 365 459
657 36 43
67 270 6
160 754 297
3 826 113
874 746 87
888 432 90
426 901 35
817 801 38
556 282 250
442 130 275
363 833 12
862 487 278
702 483 37
164 622 102
796 531 276
153 285 211
470 992 44
188 76 497
609 136 75
829 309 369
635 908 250
709 998 227
97 50 181
223 440 433
169 177 370
70 833 107
575 159 449
2 277 390
374 475 98
112 619 37
683 206 481
42 420 364
251 898 421
83 843 346
913 218 8
672 836 262
55 934 252
504 82 47
974 269 55
982 573 197
941 247 159
137 549 212
968 539 321
276 508 188
420 891 456
930 23 173
764 998 14
192 102 0
151 568 152
160 308 10
66 701 192
711 931 106
376 449 5
656 271 85
385 458 84
785 838 435
504 357 489
844 630 106
292 216 88
143 79 272
737 147 441
838 650 277
94 385 32
453 629 204
29 576 26
266 813 31
269 324 167
324 545 287
899 300 131
674 870 106
333 180 85
600 328 398
393 684 417
62 348 353
249 609 29
253 120 168
362 774 465
844 203 402
791 258 185
261 173 210
429 39 189
380 628 416
851 689 125
910 946 304
574 87 131
874 641 495
997 31 142
790 597 217
892 99 485
792 26 153
757 215 177
704 200 77
604 148 152
610 174 198
28 249 358
37 596 223
518 419 439
619 122 282
714 672 6
636 469 353
925 956 251
540 993 348
890 74 226
119 986 182
512 766 10
552 361 325
186 666 431
369 436 211
414 550 310
131 636 188
224 525 363
146 943 490
181 401 293
373 668 392
860 514 424
513 727 21
535 255 143
563 980 164
62 402 13
3 87 153
797 261 74
709 458 58
239 137 33
637 698 284
353 175 103
900 646 404
490 251 47
966 832 487
719 66 301
697 90 487
320 955 467
193 810 142
677 464 124
116 917 383
507 29 272
308 970 346
724 826 232
42 633 472
287 639 111
536 556 418
534 738 191
890 960 473
523 989 231
782 191 423
377 677 293
973 203 490
296 338 170
256 875 419
335 284 66
182 128 32
903 239 95
58 633 262
407 732 331
134 523 320
916 26 73
227 54 390
435 309 338
236 295 251
168 9 341
358 90 179
209 386 140
908 627 121
234 105 490
818 874 112
314 982 179
127 65 255
463 10 251
982 12 498
418 975 269
465 704 87
885 858 199
172 941 329
557 364 455
285 744 55
487 733 465
443 256 290
997 342 154
363 694 259
66 150 254
193 259 152
341 763 294
981 591 169
907 9 436
158 164 179
309 629 18
270 94 124
476 893 214
801 42 218
371 598 61
969 406 243
379 570 251
280 423 313
197 833 176
954 616 470
830 969 214
616 771 392
717 410 203
9 433 497
617 922 89
353 245 70
532 653 134
747 293 154
334 114 31
111 354 323
940 163 236
501 735 255
675 667 291
405 242 305
258 162 496
574 603 324
61 634 480
680 609 196
754 172 429
687 637 244
31 77 272
970 181 116
289 521 357
251 767 483
184 495 408
901 678 391
410 618 254
569 993 8
655 572 156
50 846 500
5 980 374
441 329 471
590 983 266
193 823 357
650 561 159
945 311 61
925 247 218
330 643 141
517 899 215
167 563 97
64 538 407
669 928 27
766 115 418
557 657 157
286 732 241
240 643 393
884 162 0
645 247 46
17 56 473
676 386 158
109 712 190
323 194 265
335 110 127
510 476 231
820 180 39
423 412 188
321 202 483
849 218 172
904 921 40
525 940 115
910 133 98
878 99 332
979 182 428
784 186 192
76 789 242
210 426 433
302 961 169
954 171 306
983 867 434
887 13 387
602 552 24
234 770 421
213 243 173
300 409 419
934 821 100
638 231 290
204 586 115
519 189 158
83 404 260
449 230 92
958 612 255
574 410 134
595 834 441
466 91 425
813 91 243
288 508 444
875 63 500
889 984 354
390 960 387
273 787 317
223 250 444
420 461 307
837 758 183
743 344 209
416 497 195
939 788 113
278 452 257
461 801 451
504 994 407
802 44 498
509 583 127
576 256 401
834 407 317
420 778 406
179 984 496
662 625 140
320 233 244
471 660 123
711 414 97
844 450 387
749 954 4
322 282 426
152 740 134
331 109 462
501 170 321
763 843 257
107 33 196
598 735 251
747 269 62
923 638 209
741 904 351
82 593 459
912 204 41
885 55 342
375 92 380
647 643 150
513 888 50
560 907 281
177 954 388
334 171 29
273 377 329
764 539 110
596 362 139
195 896 341
104 629 415
857 846 134
512 736 81
187 227 124
401 309 9
190 973 484
892 631 264
995 176 402
617 773 324
631 3 146
196 766 403
391 455 59
194 660 332
548 10 451
374 463 412
702 547 333
907 596 466
646 384 174
358 133 351
825 145 318
497 381 381
778 413 427
867 710 157
433 359 140
489 36 408
391 54 147
292 685 312
926 220 281
211 37 199
649 243 226
261 763 67
934 334 271
129 149 345
951 79 29
148 564 129
212 207 99
260 462 70
548 40 412
672 749 81
556 907 235
565 765 164
153 450 185
87 166 24
771 575 331
952 315 449
853 850 295
663 427 77
165 108 169
573 52 440
492 339 343
985 164 74
687 374 188
132 381 241
927 116 332
